title,price,link,search_query
Dell Latitude Light Gaming Laptop 1920x1080 4-Core i7 32GB RAM 512GB SSD Win 11,$370.77,https://www.ebay.com/itm/256776833046?_skw=gaming+laptop&itmmeta=01JPPWJERJ1D7H6PM25K2QDF5R&hash=item3bc9178816:g:Im8AAOSwJFRnz9QZ&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cqlbxPSH7JEKYctqH9woJdv0vKVAL3a2BYMR8v1fYqu%2BFiNQcJykSlCR0%2BhTdDqUbIkA3KzVk3jqgRjeuE4ElgOR%2FHMsLGIyF8YVDZd0PZZs5IXI4VxHMMhYfwzfxM%2B4UFVcbejpY91oyqtUHHo0GY3dScUQ7vhpXrizKVkA1jg881tnu1NFC6Z431eT5bnYYhEWx4YVUvTPva1gFB84ZOLMv15GIbrjVSX7GEXmPa%2BrvENj9gHFvLR7SUoDcNvmIgWpbVwX0R8fU7lZNlzk9Cmy9F6k0VBO3LED8RhtbbDg%3D%3D%7Ctkp%3ABFBMyuzJ3LVl,gaming laptop
Dell Latitude Laptop Light Gaming PC Core i7 16GB RAM 512GB SSD Windows 11 Pro,$292.71,https://www.ebay.com/itm/264714553889?_skw=gaming+laptop&itmmeta=01JPPWJERJFY4PNKMH213BEQCH&hash=item3da2378a21:g:8KsAAOSwqzJnx94p&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fTcCpsnF0NmVYy01romaqsBDWamBlcBUDbi%2BzhLp65XfO1TJZapg4JjTfe3A19hC7Rxe3blGdNqvPDOjQfT8GVZ22tTOggyyMHTkQ6TZmBgt%2FJmdCeKPyGhKvwet3XiHgCB40295rFJGLDiZgWHcwKAj3K3f6M9LlRSj36UnRxETAifZ%2BxNY8BB5Nhhe0Rbnti9ib2dOy%2FomAOun3g9vgY4z9Xz6qtKjsWNR110m%2BXQk3nChJr76EBrvdOLoupZAZIcOjwxqsG9z9JNz3QboxrknGqk9eQjGBMj7E4nfDTYA%3D%3D%7Ctkp%3ABFBMyuzJ3LVl,gaming laptop
Dell Precision 3551 Laptop 15.6” 4-Core i5 10th 4.5GHz 16GB RAM 256GB SSD Win 11,$303.49,https://www.ebay.com/itm/267055140518?_skw=gaming+laptop&itmmeta=01JPPWJERJ8Q2CZRRQVY9JV8CE&hash=item3e2dba0ea6:g:OHIAAOSwMDZn0n3a&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1c9mAtEjG1AN%2Fz9ZA2Dq0hwNoat7vg1lTZFOpS1jPxqe2nI48ikM5xQ4G5fCw5d935NdlyGbcH9pXqMDfdPH8venE%2Bk82kWyVMnMIIh6BnOdSGBvxkHFzGVToKPDYUIhkFa86QJW61byxUnHBAgHgcKf3hzn8xStZV5tBP%2Bu6XyPzLVX3457DX0nOxZsgyk%2F7zVW2IadmFj7VFEu1VH5jefLRN%2FBQZVQDw4FeY8POjMITQ7G%2Bt1fdUtPFtLkzp1%2FY1E%2FrgG9U6dGB55Bf4sUZAm%2B4u05mQGl6Rir7yM9Uw5xg%3D%3D%7Ctkp%3ABFBMyuzJ3LVl,gaming laptop
"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",$349.99 to $744.00,https://www.ebay.com/itm/334703417715?_skw=gaming+laptop&itmmeta=01JPPWJERJZSVHRQ5YJQ1NBNW5&hash=item4dede0d973:g:EKMAAOSw3rlnftZD&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eNjPH%2FM5iNOotYFS%2B15u%2BAn80dXOJxiXgtwcZBfVmsp2LyffU3VZE3egpLT7Gh22qvTArm7DajAgHy6Gz1X4PQxFGvhEOvXfG8jIOknCMaqNYpFFULzIT09%2FSaGZFcC8LHBJjnDiSu5j4hh9U2SV5sKTqhjVbzm9R0%2B%2BLtPjEN9XKBFerDLYoz%2BBCIyVDRVBZSa2Vk9wm4ZVvXT--LV%2FGzrffB%2BwnmLmjUFQE1Ss9r7BWLHY7FiuYr0aXACZoNOTuwmeb9nAHas9PT3RhzM9HL%7Ctkp%3ABFBMzOzJ3LVl,gaming laptop
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Laptop i5-12450HX 12GB RAM 512GB SSD RTX 3050",$599.99,https://www.ebay.com/itm/126480962681?_skw=gaming+laptop&itmmeta=01JPPWJERJBTYJ8H2DC5HY7NYR&hash=item1d72da5479:g:KeEAAOSw~gFmQyw7&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1eMW%2FP54m4YDOCe0qMWR2HfPXMzXvSI7C8PxHcnrVHrhX7hsIO8JoSXZIKJRwggdWwlbHfxvYCcvP446sEQ7QNjzXAMukQnBcEpgE0Plxpz2Mm%2Fs9%2B3TvByQSounKZJZx5BhkTdmzUMaab%2B1WfvmIeVDvPQZ0PrmD8XdQzFvm1IroIXKi5MctiJ1%2B%2FFm6CsZb7fSfYVO4xKGjKywHDlHWDZmk8zue7JfWcA36cYIjfOt4Ei1%2FeN0lm3vhC7EFC1XGo%3D%7Ctkp%3ABk9SR8zsydy1ZQ,gaming laptop
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Notebook R7-7435HS 16GB RAM 512GB SSD RTX 4070",$899.99,https://www.ebay.com/itm/305718430632?_skw=gaming+laptop&itmmeta=01JPPWJERJEQKENJ3A3WN41ZK4&hash=item472e3d0ba8:g:h88AAOSwarVne9rb&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cvw8mtcu2jrApIwffHQi3fobjOn9qlUM94lAGRdAVT9WQj%2BvzpiJqPszB6WHL3NGhl58jTmniK8Js5qh0vUYG0zQrNZrzddh8Zi5y8rYu34U6ryuDMHmW134VHWPF4DXa37yHC%2FUMmXOOn0lf7s5GeOwuDF9jJuQ5a8eHtVflE8kJ3dbLm6ZwKvqzbHqtBdnGikAZ99xb3BZ%2F3ZRov4%2B4JBe42X8J592WAlZe5hGBME3c%2Fczn%2BbFfdt9A1gdxk13711N5AjSrP%2BZPLhR4arhSqUrVVErR64MfglfjCSCTfiQ%3D%3D%7Ctkp%3ABk9SR8zsydy1ZQ,gaming laptop
"New ListingASUS ROG Strix G16 Gaming Laptop, 16” 165Hz RTX 4060/i7-13650HX/16GB RAM/1TB SSD",$620.00,https://www.ebay.com/itm/135635262375?_skw=gaming+laptop&epid=10069531338&itmmeta=01JPPWJERJ22NQ6M56M87A4223&hash=item1f947ddba7:g:kRwAAOSwV8xnyq38&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1e74Q2TWXCcsi%2Bwj2ysqIzs1AIwINBUIfkej4ZPYEZjzxgMtZpIwJ1l1oFNAGKfGXLXu1s0lt1dRxiy5bDJW30pQKDyh5sWREztDR%2BedA%2Bz%2BWIZKY%2BYk6OKvOoJHW5FekdJPwc6X8%2BRKTFTohRwSO2BNE0OSVnRrDqO1eH3Ds9H16xHT2HUOx%2BOxJog8nwFKeFPPd6uhLISoCEk%2B8UbPa9ynY3bRm7Cj4qMKXW4UvbTu6MSbriPJBram%2FM49Kb1J20%3D%7Ctkp%3ABk9SR8zsydy1ZQ,gaming laptop
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Laptop AMD R7-8845HS 16GB DDR5 1TB SSD RTX4060",$879.99,https://www.ebay.com/itm/126494851608?_skw=gaming+laptop&itmmeta=01JPPWJERJ806YXSY6D0Q11Q6V&hash=item1d73ae4218:g:AZYAAOSw56JmTs9X&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cK7qyZ%2FbXIenZ8FkWBK9hH%2BGATTageE9wHw7annRm17V%2BNLbI0k6gITRDK8%2B28CSuM2eOO859ielSatHFSX%2F3UIXwGV3ljiU0pQbBah2Ua6COSN8VHscgzGgox%2B8UolUCD0kTskIvjTJ10mnRkbe3PSzKLorUJ9VY2%2BzqJVHV12n4GSSRcoUnb8Kwt3Ee5%2F1PjgGQiURnppaOrbSo6VrblE%2FUAgPPe64X42MWa6r4odrnE9bdY1UGpW%2B8JXQi4mzTd40LerZMeH7drdoiwJBBHn9AQSJa%2BEqUWwc%2Bt3h0h%2Fg%3D%3D%7Ctkp%3ABk9SR8zsydy1ZQ,gaming laptop
"Lenovo LOQ 15.6"" FHD 144Hz Gaming Notebook i5-12450HX 12GB 512GB SSD RTX 2050",$519.99,https://www.ebay.com/itm/305776945810?_skw=gaming+laptop&itmmeta=01JPPWJERJ5FZ1YX34PXW5MVN7&hash=item4731b9ea92:g:UXgAAOSwzGZnGIS~&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dNAcWqgr8u7sW3nFVamTieY9hQjg4vusWNn15G%2FJ2povOP%2BoljR0hX%2FoFgd7ZWlYMCkplG%2F3PqN7mMySZfz6oQSlF88op7GNKSA2oNQFbUMdF%2F%2BjbcVAH4ZI%2BQuth%2FIr0UUISZQKStypQhv8gSVqokY9M%2BLMkVNrJj4sWBRVYXlDsVHe0Ct%2FXi8nDpAdR%2FTOUrUNVP1UYJRBY6bomEcpWgGiuxFEVvP4fBPpLVXHDVyRohz6Ov%2F4jkNXX4%2FEJOiOp8tMMS1q0dRyF5VfZ8JWrpv7%2FACmwqVG4rXilH8KOLHw%3D%3D%7Ctkp%3ABk9SR8zsydy1ZQ,gaming laptop
"Lenovo LOQ-E 15.6"" FHD 144Hz Gaming Laptop i5-12450HX 8GB RAM 512GB SSD RTX 2050",$499.99,https://www.ebay.com/itm/126754097392?_skw=gaming+laptop&itmmeta=01JPPWJERJ02QK7NJNEPG3FG4M&hash=item1d832208f0:g:uzAAAOSw~pNncsDK&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1czI8lR6jC5SQUilaHj6syrJAf18eCsjpN3OM7CUga0xcqSaoDFygTWwMY1fBFqe5Gc8zS3tYJmif96t6eVuL5tQ%2BU1NBO4XDeuFot9gUxrliSoCCplJ03jVQkVdMtKg5hPeDlrezWdTWDWY6xkLGjgOgt4ENU3%2F3ny0RtaTV5ez6BHMDLD5BQ8ehWBqlhLtShguX4k510LiqS36ZNLvnBTPcAA%2F3oBm9kA1hwJRDofsuUCiMm%2Fl4eVKXJI2vx3Oys%3D%7Ctkp%3ABk9SR8zsydy1ZQ,gaming laptop
